Year,Region,Per_Attack
2000,Aden_Gulf,615
2000,Guinea_Gulf,215
2000,Southeast_Asia,219
2001,Aden_Gulf,699
2001,Guinea_Gulf,112
2001,Southeast_Asia,371
2002,Aden_Gulf,611
2002,Guinea_Gulf,138
2002,Southeast_Asia,368
2003,Aden_Gulf,783
2003,Guinea_Gulf,90
2003,Southeast_Asia,341
2004,Aden_Gulf,1532
2004,Guinea_Gulf,117
2004,Southeast_Asia,413
2005,Aden_Gulf,414
2005,Guinea_Gulf,183
2005,Southeast_Asia,522
2006,Aden_Gulf,982
2006,Guinea_Gulf,300
2006,Southeast_Asia,772
2007,Aden_Gulf,474
2007,Guinea_Gulf,113
2007,Southeast_Asia,918
2008,Aden_Gulf,204
2008,Guinea_Gulf,84
2008,Southeast_Asia,1157
2009,Aden_Gulf,108
2009,Guinea_Gulf,118
2009,Southeast_Asia,1081
2010,Aden_Gulf,185
2010,Guinea_Gulf,177
2010,Southeast_Asia,656
2011,Aden_Gulf,168
2011,Guinea_Gulf,134
2011,Southeast_Asia,743
2012,Aden_Gulf,442
2012,Guinea_Gulf,106
2012,Southeast_Asia,692
2013,Aden_Gulf,1277
2013,Guinea_Gulf,127
2013,Southeast_Asia,553
2014,Aden_Gulf,1715
2014,Guinea_Gulf,176
2014,Southeast_Asia,540
2015,Aden_Gulf,5828
2015,Guinea_Gulf,226
2015,Southeast_Asia,460
2016,Aden_Gulf,5611
2016,Guinea_Gulf,104
2016,Southeast_Asia,1102
2017,Aden_Gulf,1254
2017,Guinea_Gulf,100
2017,Southeast_Asia,1097
2018,Aden_Gulf,6058
2018,Guinea_Gulf,55
2018,Southeast_Asia,1311
2019,Aden_Gulf,6293
2019,Guinea_Gulf,67
2019,Southeast_Asia,1550
2020,Aden_Gulf,6277
2020,Guinea_Gulf,74
2020,Southeast_Asia,1272
